Model,CR,CS
SQR,0.523 (± 0.034),1.761 (± 0.155)
RSQR,0.512 (± 0.034),1.655 (± 0.405)
MQR,0.117 (± 0.022),0.430 (± 0.075)
RMQR,0.079 (± 0.020),0.363 (± 0.050)
PMQR,0.081 (± 0.012),0.304 (± 0.033)
RPMQR,0.048 (± 0.018),0.245 (± 0.048)
Mono,0.000 (± 0.000),0.000 (± 0.000)
RMono,0.000 (± 0.000),0.000 (± 0.000)
NCMQR,0.000 (± 0.000),0.000 (± 0.000)
RNCMQR,0.000 (± 0.000),0.000 (± 0.000)
Rearrangement,0.000 (± 0.000),0.000 (± 0.000)
Isotonic,0.000 (± 0.000),0.000 (± 0.000)
