Rep,Model,CR,CS,Cost_0.5,Cost_0.6,Cost_0.7,Cost_0.8,Cost_0.9,Cost_0.95
0,SQR,0.5163398692810458,1.3847863674163818,5.405641,6.771997,7.9161143,10.369048,15.670434,17.396297
0,RSQR,0.876750700280112,5.590888977050781,5.8567023,6.833283,7.868454,12.060547,23.64608,19.205353
0,MQR,0.1830065359477124,0.4894130229949951,5.433387,6.60021,8.193266,10.155045,14.060996,18.648106
0,RMQR,0.09523809523809523,0.4509252607822418,5.602631,7.0241456,8.948575,11.497423,15.968188,21.440697
0,PMQR,0.1895424836601307,0.4484682083129883,5.3867173,6.5907617,7.995987,10.089647,13.684879,17.374178
0,RPMQR,0.45938375350140054,0.9898964762687683,6.19901,7.9071417,9.5967865,12.144422,16.358315,20.920147
0,Mono,0.0,0.0,5.603568,6.4902616,7.9043417,9.892255,13.52086,16.874104
0,RMono,0.0,0.0,6.293718,7.054812,8.407,10.6450615,14.350585,18.309282
0,NCMQR,0.0,0.0,5.2335186,6.3952966,7.810661,9.736883,13.016669,16.691017
0,RNCMQR,0.0,0.0,5.1928988,6.3128414,7.73178,9.670376,12.808568,16.53753
0,Rearrangement,0.0,0.0,5.412518,6.604907,8.20139,10.15198,14.038137,18.651136
0,Isotonic,0.0,0.0,5.422589,6.6035433,8.196142,10.153037,14.049467,18.64962
1,SQR,0.45471521942110177,1.752364993095398,5.422465,6.593082,7.852898,9.772202,13.574961,18.058723
1,RSQR,0.8515406162464986,9.357490539550781,5.3162065,6.5641546,7.850172,10.119735,24.691597,17.51627
1,MQR,0.22128851540616246,0.39158621430397034,5.5001926,6.5289745,8.023241,9.96807,13.421158,17.15409
1,RMQR,0.0700280112044818,0.3828383684158325,5.245473,6.3997436,7.786172,9.84633,13.211263,16.675608
1,PMQR,0.08683473389355742,0.385013610124588,5.2804985,6.4473085,7.932828,9.955801,13.218827,16.701275
1,RPMQR,0.06162464985994398,0.22415848076343536,5.155763,6.3115683,7.6956453,9.621858,13.02704,16.350933
1,Mono,0.0,0.0,5.6551414,6.443739,7.7890954,9.761377,12.923769,16.264648
1,RMono,0.0,0.0,5.780826,6.5033083,7.7606053,9.716387,12.9887705,16.671432
1,NCMQR,0.0,0.0,5.4969134,6.687687,8.14578,10.0274725,13.248973,16.951237
1,RNCMQR,0.0,0.0,5.3945727,6.53759,7.9632244,9.801784,12.873311,16.47358
1,Rearrangement,0.0,0.0,5.460735,6.54701,8.027728,9.968626,13.419559,17.15614
1,Isotonic,0.0,0.0,5.481089,6.5350947,8.02517,9.968348,13.420357,17.155115
2,SQR,0.6050420168067226,1.5856294631958008,5.423979,6.5022297,8.307159,9.609523,13.905769,17.768612
2,RSQR,0.4444444444444444,1.3458833694458008,5.234276,6.3396297,7.7956924,9.668042,13.357742,17.86203
2,MQR,0.09337068160597572,0.3122776448726654,5.140514,6.1853704,7.6355867,9.802916,13.106866,16.822992
2,RMQR,0.021475256769374416,0.6161954998970032,5.1747093,6.342503,7.628465,9.675144,12.9221325,16.478672
2,PMQR,0.13912231559290383,0.458501935005188,5.3924804,6.467297,7.9531918,9.788431,13.308188,17.911213
2,RPMQR,0.13632119514472454,0.1763669103384018,5.3185306,6.420745,7.7595778,9.737526,12.8490505,16.454302
2,Mono,0.0,0.0,6.3976836,7.0690794,8.193956,10.170824,13.728783,17.126083
2,RMono,0.0,0.0,5.715362,6.4885964,7.8017516,9.800926,13.190321,16.874187
2,NCMQR,0.0,0.0,5.644159,6.881004,8.3195915,10.278292,13.604875,17.33293
2,RNCMQR,0.0,0.0,5.513039,6.642575,8.067774,9.954245,13.181406,17.030006
2,Rearrangement,0.0,0.0,5.1349545,6.1838303,7.639088,9.802185,13.104859,16.823488
2,Isotonic,0.0,0.0,5.1377344,6.1844497,7.637136,9.80255,13.105863,16.82324
3,SQR,0.415499533146592,1.0890206098556519,5.465621,6.5595355,8.219264,10.039063,14.360866,18.483429
3,RSQR,0.5219421101774043,1.0857939720153809,5.583199,6.538285,8.306332,10.350493,14.178569,17.480457
